ID_RA;ANO;COD_NATUREZA;MES;QUANTIDADE
29;2022;2;1;0
29;2022;2;2;0
29;2022;2;3;0
29;2022;2;4;0
29;2022;2;5;0
29;2022;2;6;0
29;2022;2;7;0
29;2022;2;8;0
29;2022;2;9;0
29;2022;2;10;0
29;2022;2;11;0
29;2022;2;12;0
29;2022;23;1;7
29;2022;23;2;8
29;2022;23;3;13
29;2022;23;4;15
29;2022;23;5;12
29;2022;23;6;8
29;2022;23;7;6
29;2022;23;8;10
29;2022;23;9;7
29;2022;23;10;10
29;2022;23;11;5
29;2022;23;12;3
29;2022;7;1;0
29;2022;7;2;1
29;2022;7;3;0
29;2022;7;4;0
29;2022;7;5;0
29;2022;7;6;0
29;2022;7;7;0
29;2022;7;8;0
29;2022;7;9;1
29;2022;7;10;0
29;2022;7;11;0
29;2022;7;12;0
29;2022;27;1;0
29;2022;27;2;0
29;2022;27;3;0
29;2022;27;4;0
29;2022;27;5;0
29;2022;27;6;0
29;2022;27;7;0
29;2022;27;8;0
29;2022;27;9;0
29;2022;27;10;0
29;2022;27;11;0
29;2022;27;12;0
29;2022;28;1;0
29;2022;28;2;0
29;2022;28;3;0
29;2022;28;4;0
29;2022;28;5;0
29;2022;28;6;0
29;2022;28;7;0
29;2022;28;8;0
29;2022;28;9;0
29;2022;28;10;0
29;2022;28;11;0
29;2022;28;12;0
29;2022;29;1;0
29;2022;29;2;0
29;2022;29;3;1
29;2022;29;4;0
29;2022;29;5;0
29;2022;29;6;0
29;2022;29;7;1
29;2022;29;8;0
29;2022;29;9;0
29;2022;29;10;1
29;2022;29;11;0
29;2022;29;12;0
29;2022;30;1;0
29;2022;30;2;0
29;2022;30;3;0
29;2022;30;4;0
29;2022;30;5;0
29;2022;30;6;0
29;2022;30;7;1
29;2022;30;8;0
29;2022;30;9;1
29;2022;30;10;0
29;2022;30;11;1
29;2022;30;12;1
29;2022;3;1;1
29;2022;3;2;6
29;2022;3;3;5
29;2022;3;4;4
29;2022;3;5;3
29;2022;3;6;4
29;2022;3;7;0
29;2022;3;8;2
29;2022;3;9;4
29;2022;3;10;1
29;2022;3;11;3
29;2022;3;12;2
29;2022;8;1;0
29;2022;8;2;0
29;2022;8;3;1
29;2022;8;4;0
29;2022;8;5;0
29;2022;8;6;0
29;2022;8;7;0
29;2022;8;8;0
29;2022;8;9;0
29;2022;8;10;0
29;2022;8;11;0
29;2022;8;12;0
29;2022;4;1;1
29;2022;4;2;0
29;2022;4;3;1
29;2022;4;4;0
29;2022;4;5;0
29;2022;4;6;1
29;2022;4;7;0
29;2022;4;8;1
29;2022;4;9;1
29;2022;4;10;0
29;2022;4;11;0
29;2022;4;12;0
29;2022;31;1;0
29;2022;31;2;0
29;2022;31;3;0
29;2022;31;4;1
29;2022;31;5;0
29;2022;31;6;0
29;2022;31;7;0
29;2022;31;8;0
29;2022;31;9;0
29;2022;31;10;0
29;2022;31;11;1
29;2022;31;12;0
29;2022;6;1;0
29;2022;6;2;0
29;2022;6;3;0
29;2022;6;4;1
29;2022;6;5;0
29;2022;6;6;0
29;2022;6;7;0
29;2022;6;8;0
29;2022;6;9;0
29;2022;6;10;0
29;2022;6;11;0
29;2022;6;12;0
29;2022;13;1;0
29;2022;13;2;0
29;2022;13;3;0
29;2022;13;4;0
29;2022;13;5;0
29;2022;13;6;0
29;2022;13;7;0
29;2022;13;8;0
29;2022;13;9;0
29;2022;13;10;0
29;2022;13;11;1
29;2022;13;12;0
29;2022;19;1;0
29;2022;19;2;0
29;2022;19;3;0
29;2022;19;4;1
29;2022;19;5;0
29;2022;19;6;0
29;2022;19;7;0
29;2022;19;8;0
29;2022;19;9;0
29;2022;19;10;1
29;2022;19;11;0
29;2022;19;12;0
29;2022;11;1;1
29;2022;11;2;0
29;2022;11;3;1
29;2022;11;4;1
29;2022;11;5;1
29;2022;11;6;0
29;2022;11;7;0
29;2022;11;8;0
29;2022;11;9;0
29;2022;11;10;0
29;2022;11;11;0
29;2022;11;12;0
29;2022;32;1;3
29;2022;32;2;3
29;2022;32;3;7
29;2022;32;4;4
29;2022;32;5;1
29;2022;32;6;3
29;2022;32;7;1
29;2022;32;8;0
29;2022;32;9;1
29;2022;32;10;1
29;2022;32;11;0
29;2022;32;12;4
29;2023;1;1;0
29;2023;1;2;1
29;2023;1;3;0
29;2023;1;4;0
29;2023;1;5;0
29;2023;1;6;0
29;2023;1;7;0
29;2023;1;8;0
29;2023;1;9;0
29;2023;1;10;1
29;2023;1;11;1
29;2023;1;12;0
29;2023;2;1;0
29;2023;2;2;1
29;2023;2;3;3
29;2023;2;4;0
29;2023;2;5;2
29;2023;2;6;0
29;2023;2;7;0
29;2023;2;8;0
29;2023;2;9;1
29;2023;2;10;0
29;2023;2;11;0
29;2023;2;12;1
29;2023;23;1;7
29;2023;23;2;2
29;2023;23;3;4
29;2023;23;4;3
29;2023;23;5;7
29;2023;23;6;7
29;2023;23;7;4
29;2023;23;8;9
29;2023;23;9;15
29;2023;23;10;5
29;2023;23;11;8
29;2023;23;12;7
29;2023;7;1;0
29;2023;7;2;0
29;2023;7;3;0
29;2023;7;4;0
29;2023;7;5;0
29;2023;7;6;0
29;2023;7;7;0
29;2023;7;8;0
29;2023;7;9;0
29;2023;7;10;0
29;2023;7;11;1
29;2023;7;12;0
29;2023;27;1;0
29;2023;27;2;0
29;2023;27;3;0
29;2023;27;4;0
29;2023;27;5;0
29;2023;27;6;0
29;2023;27;7;0
29;2023;27;8;0
29;2023;27;9;0
29;2023;27;10;0
29;2023;27;11;0
29;2023;27;12;0
29;2023;28;1;0
29;2023;28;2;0
29;2023;28;3;0
29;2023;28;4;0
29;2023;28;5;0
29;2023;28;6;0
29;2023;28;7;0
29;2023;28;8;0
29;2023;28;9;0
29;2023;28;10;0
29;2023;28;11;0
29;2023;28;12;0
29;2023;29;1;0
29;2023;29;2;0
29;2023;29;3;0
29;2023;29;4;2
29;2023;29;5;3
29;2023;29;6;0
29;2023;29;7;2
29;2023;29;8;2
29;2023;29;9;1
29;2023;29;10;1
