ID_RA;RA;ANO;NATUREZA;COD_NATUREZA;MÊS;QUANTIDADE
1;ARNIQUEIRA;2020;ROUBO DE VEÍCULO;8;9;2
1;ARNIQUEIRA;2020;ROUBO DE VEÍCULO;8;10;1
1;ARNIQUEIRA;2020;ROUBO DE VEÍCULO;8;11;2
1;ARNIQUEIRA;2020;ROUBO DE VEÍCULO;8;12;3
1;ARNIQUEIRA;2020;ROUBO EM COLETIVO;4;1;0
1;ARNIQUEIRA;2020;ROUBO EM COLETIVO;4;2;0
1;ARNIQUEIRA;2020;ROUBO EM COLETIVO;4;3;0
1;ARNIQUEIRA;2020;ROUBO EM COLETIVO;4;4;0
1;ARNIQUEIRA;2020;ROUBO EM COLETIVO;4;5;0
1;ARNIQUEIRA;2020;ROUBO EM COLETIVO;4;6;0
1;ARNIQUEIRA;2020;ROUBO EM COLETIVO;4;7;0
1;ARNIQUEIRA;2020;ROUBO EM COLETIVO;4;8;0
1;ARNIQUEIRA;2020;ROUBO EM COLETIVO;4;9;0
1;ARNIQUEIRA;2020;ROUBO EM COLETIVO;4;10;1
1;ARNIQUEIRA;2020;ROUBO EM COLETIVO;4;11;0
1;ARNIQUEIRA;2020;ROUBO EM COLETIVO;4;12;0
1;ARNIQUEIRA;2020;ROUBO EM COMÉRCIO *;31;1;3
1;ARNIQUEIRA;2020;ROUBO EM COMÉRCIO *;31;2;0
1;ARNIQUEIRA;2020;ROUBO EM COMÉRCIO *;31;3;3
1;ARNIQUEIRA;2020;ROUBO EM COMÉRCIO *;31;4;0
1;ARNIQUEIRA;2020;ROUBO EM COMÉRCIO *;31;5;0
1;ARNIQUEIRA;2020;ROUBO EM COMÉRCIO *;31;6;1
1;ARNIQUEIRA;2020;ROUBO EM COMÉRCIO *;31;7;2
1;ARNIQUEIRA;2020;ROUBO EM COMÉRCIO *;31;8;1
1;ARNIQUEIRA;2020;ROUBO EM COMÉRCIO *;31;9;0
1;ARNIQUEIRA;2020;ROUBO EM COMÉRCIO *;31;10;1
1;ARNIQUEIRA;2020;ROUBO EM COMÉRCIO *;31;11;2
1;ARNIQUEIRA;2020;ROUBO EM COMÉRCIO *;31;12;0
1;ARNIQUEIRA;2020;ROUBO EM RESIDÊNCIA;6;1;0
1;ARNIQUEIRA;2020;ROUBO EM RESIDÊNCIA;6;2;0
1;ARNIQUEIRA;2020;ROUBO EM RESIDÊNCIA;6;3;0
1;ARNIQUEIRA;2020;ROUBO EM RESIDÊNCIA;6;4;0
1;ARNIQUEIRA;2020;ROUBO EM RESIDÊNCIA;6;5;1
1;ARNIQUEIRA;2020;ROUBO EM RESIDÊNCIA;6;6;0
1;ARNIQUEIRA;2020;ROUBO EM RESIDÊNCIA;6;7;1
1;ARNIQUEIRA;2020;ROUBO EM RESIDÊNCIA;6;8;0
1;ARNIQUEIRA;2020;ROUBO EM RESIDÊNCIA;6;9;0
1;ARNIQUEIRA;2020;ROUBO EM RESIDÊNCIA;6;10;0
1;ARNIQUEIRA;2020;ROUBO EM RESIDÊNCIA;6;11;0
1;ARNIQUEIRA;2020;ROUBO EM RESIDÊNCIA;6;12;0
1;ARNIQUEIRA;2020;TENTATIVA DE HOMICÍDIO;13;1;0
1;ARNIQUEIRA;2020;TENTATIVA DE HOMICÍDIO;13;2;1
1;ARNIQUEIRA;2020;TENTATIVA DE HOMICÍDIO;13;3;0
1;ARNIQUEIRA;2020;TENTATIVA DE HOMICÍDIO;13;4;0
1;ARNIQUEIRA;2020;TENTATIVA DE HOMICÍDIO;13;5;0
1;ARNIQUEIRA;2020;TENTATIVA DE HOMICÍDIO;13;6;0
1;ARNIQUEIRA;2020;TENTATIVA DE HOMICÍDIO;13;7;1
1;ARNIQUEIRA;2020;TENTATIVA DE HOMICÍDIO;13;8;1
1;ARNIQUEIRA;2020;TENTATIVA DE HOMICÍDIO;13;9;1
1;ARNIQUEIRA;2020;TENTATIVA DE HOMICÍDIO;13;10;1
1;ARNIQUEIRA;2020;TENTATIVA DE HOMICÍDIO;13;11;2
1;ARNIQUEIRA;2020;TENTATIVA DE HOMICÍDIO;13;12;1
1;ARNIQUEIRA;2020;TENTATIVA DE LATROCÍNIO;19;1;0
